district_code,municipality_code,jp_kanji,jp_kana
011011,011002,札幌市中央区,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ
011029,011002,札幌市北区,ｻｯﾎﾟﾛｼｷﾀｸ
011037,011002,札幌市東区,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ
011045,011002,札幌市白石区,ｻｯﾎﾟﾛｼｼﾛｲｼｸ
011053,011002,札幌市豊平区,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ
011061,011002,札幌市南区,ｻｯﾎﾟﾛｼﾐﾅﾐｸ
011070,011002,札幌市西区,ｻｯﾎﾟﾛｼﾆｼｸ
011088,011002,札幌市厚別区,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ
011096,011002,札幌市手稲区,ｻｯﾎﾟﾛｼﾃｲﾈｸ
011100,011002,札幌市清田区,ｻｯﾎﾟﾛｼｷﾖﾀｸ
041017,041009,仙台市青葉区,ｾﾝﾀﾞｲｼｱｵﾊﾞｸ
041025,041009,仙台市宮城野区,ｾﾝﾀﾞｲｼﾐﾔｷﾞﾉｸ
041033,041009,仙台市若林区,ｾﾝﾀﾞｲｼﾜｶﾊﾞﾔｼｸ
041041,041009,仙台市太白区,ｾﾝﾀﾞｲｼﾀｲﾊｸｸ
041050,041009,仙台市泉区,ｾﾝﾀﾞｲｼｲｽﾞﾐｸ
111015,111007,さいたま市西区,ｻｲﾀﾏｼﾆｼｸ
111023,111007,さいたま市北区,ｻｲﾀﾏｼｷﾀｸ
111031,111007,さいたま市大宮区,ｻｲﾀﾏｼｵｵﾐﾔｸ
111040,111007,さいたま市見沼区,ｻｲﾀﾏｼﾐﾇﾏｸ
111058,111007,さいたま市中央区,ｻｲﾀﾏｼﾁｭｳｵｳｸ
111066,111007,さいたま市桜区,ｻｲﾀﾏｼｻｸﾗｸ
111074,111007,さいたま市浦和区,ｻｲﾀﾏｼｳﾗﾜｸ
111082,111007,さいたま市南区,ｻｲﾀﾏｼﾐﾅﾐｸ
111091,111007,さいたま市緑区,ｻｲﾀﾏｼﾐﾄﾞﾘｸ
111104,111007,さいたま市岩槻区,ｻｲﾀﾏｼｲﾜﾂｷｸ
121011,121002,千葉市中央区,ﾁﾊﾞｼﾁｭｳｵｳｸ
121029,121002,千葉市花見川区,ﾁﾊﾞｼﾊﾅﾐｶﾞﾜｸ
121037,121002,千葉市稲毛区,ﾁﾊﾞｼｲﾅｹﾞｸ
121045,121002,千葉市若葉区,ﾁﾊﾞｼﾜｶﾊﾞｸ
121053,121002,千葉市緑区,ﾁﾊﾞｼﾐﾄﾞﾘｸ
121061,121002,千葉市美浜区,ﾁﾊﾞｼﾐﾊﾏｸ
141011,141003,横浜市鶴見区,ﾖｺﾊﾏｼﾂﾙﾐｸ
141020,141003,横浜市神奈川区,ﾖｺﾊﾏｼｶﾅｶﾞﾜｸ
141038,141003,横浜市西区,ﾖｺﾊﾏｼﾆｼｸ
141046,141003,横浜市中区,ﾖｺﾊﾏｼﾅｶｸ
141054,141003,横浜市南区,ﾖｺﾊﾏｼﾐﾅﾐｸ
141062,141003,横浜市保土ケ谷区,ﾖｺﾊﾏｼﾎﾄﾞｶﾞﾔｸ
141071,141003,横浜市磯子区,ﾖｺﾊﾏｼｲｿｺﾞｸ
141089,141003,横浜市金沢区,ﾖｺﾊﾏｼｶﾅｻﾞﾜｸ
141097,141003,横浜市港北区,ﾖｺﾊﾏｼｺｳﾎｸｸ
141101,141003,横浜市戸塚区,ﾖｺﾊﾏｼﾄﾂｶｸ
141119,141003,横浜市港南区,ﾖｺﾊﾏｼｺｳﾅﾝｸ
141127,141003,横浜市旭区,ﾖｺﾊﾏｼｱｻﾋｸ
141135,141003,横浜市緑区,ﾖｺﾊﾏｼﾐﾄﾞﾘｸ
141143,141003,横浜市瀬谷区,ﾖｺﾊﾏｼｾﾔｸ
141151,141003,横浜市栄区,ﾖｺﾊﾏｼｻｶｴｸ
141160,141003,横浜市泉区,ﾖｺﾊﾏｼｲｽﾞﾐｸ
141178,141003,横浜市青葉区,ﾖｺﾊﾏｼｱｵﾊﾞｸ
141186,141003,横浜市都筑区,ﾖｺﾊﾏｼﾂﾂﾞｷｸ
141313,141305,川崎市川崎区,ｶﾜｻｷｼｶﾜｻｷｸ
141321,141305,川崎市幸区,ｶﾜｻｷｼｻｲﾜｲｸ
141330,141305,川崎市中原区,ｶﾜｻｷｼﾅｶﾊﾗｸ
141348,141305,川崎市高津区,ｶﾜｻｷｼﾀｶﾂｸ
141356,141305,川崎市多摩区,ｶﾜｻｷｼﾀﾏｸ
141364,141305,川崎市宮前区,ｶﾜｻｷｼﾐﾔﾏｴｸ
141372,141305,川崎市麻生区,ｶﾜｻｷｼｱｻｵｸ
141518,141500,相模原市緑区,ｻｶﾞﾐﾊﾗｼﾐﾄﾞﾘｸ
141526,141500,相模原市中央区,ｻｶﾞﾐﾊﾗｼﾁｭｳｵｳｸ
141534,141500,相模原市南区,ｻｶﾞﾐﾊﾗｼﾐﾅﾐｸ
151017,151009,新潟市北区,ﾆｲｶﾞﾀｼｷﾀｸ
151025,151009,新潟市東区,ﾆｲｶﾞﾀｼﾋｶﾞｼｸ
151033,151009,新潟市中央区,ﾆｲｶﾞﾀｼﾁｭｳｵｳｸ
151041,151009,新潟市江南区,ﾆｲｶﾞﾀｼｺｳﾅﾝｸ
151050,151009,新潟市秋葉区,ﾆｲｶﾞﾀｼｱｷﾊｸ
151068,151009,新潟市南区,ﾆｲｶﾞﾀｼﾐﾅﾐｸ
151076,151009,新潟市西区,ﾆｲｶﾞﾀｼﾆｼｸ
151084,151009,新潟市西蒲区,ﾆｲｶﾞﾀｼﾆｼｶﾝｸ
221015,221007,静岡市葵区,ｼｽﾞｵｶｼｱｵｲｸ
221023,221007,静岡市駿河区,ｼｽﾞｵｶｼｽﾙｶﾞｸ
221031,221007,静岡市清水区,ｼｽﾞｵｶｼｼﾐｽﾞｸ
221317,221309,浜松市中区,ﾊﾏﾏﾂｼﾅｶｸ
221325,221309,浜松市東区,ﾊﾏﾏﾂｼﾋｶﾞｼｸ
221333,221309,浜松市西区,ﾊﾏﾏﾂｼﾆｼｸ
221341,221309,浜松市南区,ﾊﾏﾏﾂｼﾐﾅﾐｸ
221350,221309,浜松市北区,ﾊﾏﾏﾂｼｷﾀｸ
221368,221309,浜松市浜北区,ﾊﾏﾏﾂｼﾊﾏｷﾀｸ
221376,221309,浜松市天竜区,ﾊﾏﾏﾂｼﾃﾝﾘｭｳｸ
231011,231002,名古屋市千種区,ﾅｺﾞﾔｼﾁｸｻｸ
231029,231002,名古屋市東区,ﾅｺﾞﾔｼﾋｶﾞｼｸ
231037,231002,名古屋市北区,ﾅｺﾞﾔｼｷﾀｸ
231045,231002,名古屋市西区,ﾅｺﾞﾔｼﾆｼｸ
231053,231002,名古屋市中村区,ﾅｺﾞﾔｼﾅｶﾑﾗｸ
231061,231002,名古屋市中区,ﾅｺﾞﾔｼﾅｶｸ
231070,231002,名古屋市昭和区,ﾅｺﾞﾔｼｼｮｳﾜｸ
231088,231002,名古屋市瑞穂区,ﾅｺﾞﾔｼﾐｽﾞﾎｸ
231096,231002,名古屋市熱田区,ﾅｺﾞﾔｼｱﾂﾀｸ
231100,231002,名古屋市中川区,ﾅｺﾞﾔｼﾅｶｶﾞﾜｸ
231118,231002,名古屋市港区,ﾅｺﾞﾔｼﾐﾅﾄｸ
231126,231002,名古屋市南区,ﾅｺﾞﾔｼﾐﾅﾐｸ
231134,231002,名古屋市守山区,ﾅｺﾞﾔｼﾓﾘﾔﾏｸ
231142,231002,名古屋市緑区,ﾅｺﾞﾔｼﾐﾄﾞﾘｸ
231151,231002,名古屋市名東区,ﾅｺﾞﾔｼﾒｲﾄｳｸ
231169,231002,名古屋市天白区,ﾅｺﾞﾔｼﾃﾝﾊﾟｸｸ
261017,261009,京都市北区,ｷｮｳﾄｼｷﾀｸ
261025,261009,京都市上京区,ｷｮｳﾄｼｶﾐｷﾞｮｳｸ
261033,261009,京都市左京区,ｷｮｳﾄｼｻｷｮｳｸ
261041,261009,京都市中京区,ｷｮｳﾄｼﾅｶｷﾞｮｳｸ
261050,261009,京都市東山区,ｷｮｳﾄｼﾋｶﾞｼﾔﾏｸ
261068,261009,京都市下京区,ｷｮｳﾄｼｼﾓｷﾞｮｳｸ
261076,261009,京都市南区,ｷｮｳﾄｼﾐﾅﾐｸ
261084,261009,京都市右京区,ｷｮｳﾄｼｳｷｮｳｸ
261092,261009,京都市伏見区,ｷｮｳﾄｼﾌｼﾐｸ
261106,261009,京都市山科区,ｷｮｳﾄｼﾔﾏｼﾅｸ
261114,261009,京都市西京区,ｷｮｳﾄｼﾆｼｷｮｳｸ
271021,271004,大阪市都島区,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ
271039,271004,大阪市福島区,ｵｵｻｶｼﾌｸｼﾏｸ
271047,271004,大阪市此花区,ｵｵｻｶｼｺﾉﾊﾅｸ
271063,271004,大阪市西区,ｵｵｻｶｼﾆｼｸ
271071,271004,大阪市港区,ｵｵｻｶｼﾐﾅﾄｸ
271080,271004,大阪市大正区,ｵｵｻｶｼﾀｲｼｮｳｸ
271098,271004,大阪市天王寺区,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ
271110,271004,大阪市浪速区,ｵｵｻｶｼﾅﾆﾜｸ
271136,271004,大阪市西淀川区,ｵｵｻｶｼﾆｼﾖﾄﾞｶﾞﾜｸ
271144,271004,大阪市東淀川区,ｵｵｻｶｼﾋｶﾞｼﾖﾄﾞｶﾞﾜｸ
271152,271004,大阪市東成区,ｵｵｻｶｼﾋｶﾞｼﾅﾘｸ
271161,271004,大阪市生野区,ｵｵｻｶｼｲｸﾉｸ
271179,271004,大阪市旭区,ｵｵｻｶｼｱｻﾋｸ
271187,271004,大阪市城東区,ｵｵｻｶｼｼﾞｮｳﾄｳｸ
271195,271004,大阪市阿倍野区,ｵｵｻｶｼｱﾍﾞﾉｸ
271209,271004,大阪市住吉区,ｵｵｻｶｼｽﾐﾖｼｸ
271217,271004,大阪市東住吉区,ｵｵｻｶｼﾋｶﾞｼｽﾐﾖｼｸ
271225,271004,大阪市西成区,ｵｵｻｶｼﾆｼﾅﾘｸ
271233,271004,大阪市淀川区,ｵｵｻｶｼﾖﾄﾞｶﾞﾜｸ
271241,271004,大阪市鶴見区,ｵｵｻｶｼﾂﾙﾐｸ
271250,271004,大阪市住之江区,ｵｵｻｶｼｽﾐﾉｴｸ
271268,271004,大阪市平野区,ｵｵｻｶｼﾋﾗﾉｸ
271276,271004,大阪市北区,ｵｵｻｶｼｷﾀｸ
271284,271004,大阪市中央区,ｵｵｻｶｼﾁｭｳｵｳｸ
271411,271403,堺市堺区,ｻｶｲｼｻｶｲｸ
271420,271403,堺市中区,ｻｶｲｼﾅｶｸ
271438,271403,堺市東区,ｻｶｲｼﾋｶﾞｼｸ
271446,271403,堺市西区,ｻｶｲｼﾆｼｸ
271454,271403,堺市南区,ｻｶｲｼﾐﾅﾐｸ
271462,271403,堺市北区,ｻｶｲｼｷﾀｸ
271471,271403,堺市美原区,ｻｶｲｼﾐﾊﾗｸ
281018,281000,神戸市東灘区,ｺｳﾍﾞｼﾋｶﾞｼﾅﾀﾞｸ
281026,281000,神戸市灘区,ｺｳﾍﾞｼﾅﾀﾞｸ
281051,281000,神戸市兵庫区,ｺｳﾍﾞｼﾋｮｳｺﾞｸ
281069,281000,神戸市長田区,ｺｳﾍﾞｼﾅｶﾞﾀｸ
281077,281000,神戸市須磨区,ｺｳﾍﾞｼｽﾏｸ
281085,281000,神戸市垂水区,ｺｳﾍﾞｼﾀﾙﾐｸ
281093,281000,神戸市北区,ｺｳﾍﾞｼｷﾀｸ
281107,281000,神戸市中央区,ｺｳﾍﾞｼﾁｭｳｵｳｸ
281115,281000,神戸市西区,ｺｳﾍﾞｼﾆｼｸ
331015,331007,岡山市北区,ｵｶﾔﾏｼｷﾀｸ
331023,331007,岡山市中区,ｵｶﾔﾏｼﾅｶｸ
331031,331007,岡山市東区,ｵｶﾔﾏｼﾋｶﾞｼｸ
331040,331007,岡山市南区,ｵｶﾔﾏｼﾐﾅﾐｸ
341011,341002,広島市中区,ﾋﾛｼﾏｼﾅｶｸ
341029,341002,広島市東区,ﾋﾛｼﾏｼﾋｶﾞｼｸ
341037,341002,広島市南区,ﾋﾛｼﾏｼﾐﾅﾐｸ
341045,341002,広島市西区,ﾋﾛｼﾏｼﾆｼｸ
341053,341002,広島市安佐南区,ﾋﾛｼﾏｼｱｻﾐﾅﾐｸ
341061,341002,広島市安佐北区,ﾋﾛｼﾏｼｱｻｷﾀｸ
341070,341002,広島市安芸区,ﾋﾛｼﾏｼｱｷｸ
341088,341002,広島市佐伯区,ﾋﾛｼﾏｼｻｴｷｸ
401013,401005,北九州市門司区,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ
401030,401005,北九州市若松区,ｷﾀｷｭｳｼｭｳｼﾜｶﾏﾂｸ
401056,401005,北九州市戸畑区,ｷﾀｷｭｳｼｭｳｼﾄﾊﾞﾀｸ
401064,401005,北九州市小倉北区,ｷﾀｷｭｳｼｭｳｼｺｸﾗｷﾀｸ
401072,401005,北九州市小倉南区,ｷﾀｷｭｳｼｭｳｼｺｸﾗﾐﾅﾐｸ
