municipality_code,prefecture_code,jp_name,jp_kana
011002,010006,札幌市,ｻｯﾎﾟﾛｼ
012025,010006,函館市,ﾊｺﾀﾞﾃｼ
012033,010006,小樽市,ｵﾀﾙｼ
012041,010006,旭川市,ｱｻﾋｶﾜｼ
012050,010006,室蘭市,ﾑﾛﾗﾝｼ
012068,010006,釧路市,ｸｼﾛｼ
012076,010006,帯広市,ｵﾋﾞﾋﾛｼ
012084,010006,北見市,ｷﾀﾐｼ
012092,010006,夕張市,ﾕｳﾊﾞﾘｼ
012106,010006,岩見沢市,ｲﾜﾐｻﾞﾜｼ
012114,010006,網走市,ｱﾊﾞｼﾘｼ
012122,010006,留萌市,ﾙﾓｲｼ
012131,010006,苫小牧市,ﾄﾏｺﾏｲｼ
012149,010006,稚内市,ﾜｯｶﾅｲｼ
012157,010006,美唄市,ﾋﾞﾊﾞｲｼ
012165,010006,芦別市,ｱｼﾍﾞﾂｼ
012173,010006,江別市,ｴﾍﾞﾂｼ
012181,010006,赤平市,ｱｶﾋﾞﾗｼ
012190,010006,紋別市,ﾓﾝﾍﾞﾂｼ
012203,010006,士別市,ｼﾍﾞﾂｼ
012211,010006,名寄市,ﾅﾖﾛｼ
012220,010006,三笠市,ﾐｶｻｼ
012238,010006,根室市,ﾈﾑﾛｼ
012246,010006,千歳市,ﾁﾄｾｼ
012254,010006,滝川市,ﾀｷｶﾜｼ
012262,010006,砂川市,ｽﾅｶﾞﾜｼ
012271,010006,歌志内市,ｳﾀｼﾅｲｼ
012289,010006,深川市,ﾌｶｶﾞﾜｼ
012297,010006,富良野市,ﾌﾗﾉｼ
012301,010006,登別市,ﾉﾎﾞﾘﾍﾞﾂｼ
012319,010006,恵庭市,ｴﾆﾜｼ
012335,010006,伊達市,ﾀﾞﾃｼ
012343,010006,北広島市,ｷﾀﾋﾛｼﾏｼ
012351,010006,石狩市,ｲｼｶﾘｼ
012360,010006,北斗市,ﾎｸﾄｼ
013030,010006,当別町,ﾄｳﾍﾞﾂﾁｮｳ
013048,010006,新篠津村,ｼﾝｼﾉﾂﾑﾗ
013315,010006,松前町,ﾏﾂﾏｴﾁｮｳ
013323,010006,福島町,ﾌｸｼﾏﾁｮｳ
013331,010006,知内町,ｼﾘｳﾁﾁｮｳ
013340,010006,木古内町,ｷｺﾅｲﾁｮｳ
013374,010006,七飯町,ﾅﾅｴﾁｮｳ
013439,010006,鹿部町,ｼｶﾍﾞﾁｮｳ
013455,010006,森町,ﾓﾘﾏﾁ
013463,010006,八雲町,ﾔｸﾓﾁｮｳ
013471,010006,長万部町,ｵｼｬﾏﾝﾍﾞﾁｮｳ
013617,010006,江差町,ｴｻｼﾁｮｳ
013625,010006,上ノ国町,ｶﾐﾉｸﾆﾁｮｳ
013633,010006,厚沢部町,ｱｯｻﾌﾞﾁｮｳ
013641,010006,乙部町,ｵﾄﾍﾞﾁｮｳ
013676,010006,奥尻町,ｵｸｼﾘﾁｮｳ
013706,010006,今金町,ｲﾏｶﾈﾁｮｳ
013714,010006,せたな町,ｾﾀﾅﾁｮｳ
013919,010006,島牧村,ｼﾏﾏｷﾑﾗ
013927,010006,寿都町,ｽｯﾂﾁｮｳ
013935,010006,黒松内町,ｸﾛﾏﾂﾅｲﾁｮｳ
013943,010006,蘭越町,ﾗﾝｺｼﾁｮｳ
013951,010006,ニセコ町,ﾆｾｺﾁｮｳ
013960,010006,真狩村,ﾏｯｶﾘﾑﾗ
013978,010006,留寿都村,ﾙｽﾂﾑﾗ
013986,010006,喜茂別町,ｷﾓﾍﾞﾂﾁｮｳ
013994,010006,京極町,ｷｮｳｺﾞｸﾁｮｳ
014001,010006,倶知安町,ｸｯﾁｬﾝﾁｮｳ
014010,010006,共和町,ｷｮｳﾜﾁｮｳ
014028,010006,岩内町,ｲﾜﾅｲﾁｮｳ
014036,010006,泊村,ﾄﾏﾘﾑﾗ
014044,010006,神恵内村,ｶﾓｴﾅｲﾑﾗ
014052,010006,積丹町,ｼｬｺﾀﾝﾁｮｳ
014061,010006,古平町,ﾌﾙﾋﾞﾗﾁｮｳ
014079,010006,仁木町,ﾆｷﾁｮｳ
014087,010006,余市町,ﾖｲﾁﾁｮｳ
014095,010006,赤井川村,ｱｶｲｶﾞﾜﾑﾗ
014231,010006,南幌町,ﾅﾝﾎﾟﾛﾁｮｳ
014249,010006,奈井江町,ﾅｲｴﾁｮｳ
014257,010006,上砂川町,ｶﾐｽﾅｶﾞﾜﾁｮｳ
014273,010006,由仁町,ﾕﾆﾁｮｳ
014281,010006,長沼町,ﾅｶﾞﾇﾏﾁｮｳ
014290,010006,栗山町,ｸﾘﾔﾏﾁｮｳ
014303,010006,月形町,ﾂｷｶﾞﾀﾁｮｳ
014311,010006,浦臼町,ｳﾗｳｽﾁｮｳ
014320,010006,新十津川町,ｼﾝﾄﾂｶﾜﾁｮｳ
014338,010006,妹背牛町,ﾓｾｳｼﾁｮｳ
014346,010006,秩父別町,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ
014362,010006,雨竜町,ｳﾘｭｳﾁｮｳ
014371,010006,北竜町,ﾎｸﾘｭｳﾁｮｳ
014389,010006,沼田町,ﾇﾏﾀﾁｮｳ
014524,010006,鷹栖町,ﾀｶｽﾁｮｳ
014532,010006,東神楽町,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ
014541,010006,当麻町,ﾄｳﾏﾁｮｳ
014559,010006,比布町,ﾋﾟｯﾌﾟﾁｮｳ
014567,010006,愛別町,ｱｲﾍﾞﾂﾁｮｳ
014575,010006,上川町,ｶﾐｶﾜﾁｮｳ
014583,010006,東川町,ﾋｶﾞｼｶﾜﾁｮｳ
014591,010006,美瑛町,ﾋﾞｴｲﾁｮｳ
014605,010006,上富良野町,ｶﾐﾌﾗﾉﾁｮｳ
014613,010006,中富良野町,ﾅｶﾌﾗﾉﾁｮｳ
014621,010006,南富良野町,ﾐﾅﾐﾌﾗﾉﾁｮｳ
014630,010006,占冠村,ｼﾑｶｯﾌﾟﾑﾗ
014648,010006,和寒町,ﾜｯｻﾑﾁｮｳ
014656,010006,剣淵町,ｹﾝﾌﾞﾁﾁｮｳ
014681,010006,下川町,ｼﾓｶﾜﾁｮｳ
014699,010006,美深町,ﾋﾞﾌｶﾁｮｳ
014702,010006,音威子府村,ｵﾄｲﾈｯﾌﾟﾑﾗ
014711,010006,中川町,ﾅｶｶﾞﾜﾁｮｳ
014729,010006,幌加内町,ﾎﾛｶﾅｲﾁｮｳ
014818,010006,増毛町,ﾏｼｹﾁｮｳ
014826,010006,小平町,ｵﾋﾞﾗﾁｮｳ
014834,010006,苫前町,ﾄﾏﾏｴﾁｮｳ
014842,010006,羽幌町,ﾊﾎﾞﾛﾁｮｳ
014851,010006,初山別村,ｼｮｻﾝﾍﾞﾂﾑﾗ
014869,010006,遠別町,ｴﾝﾍﾞﾂﾁｮｳ
014877,010006,天塩町,ﾃｼｵﾁｮｳ
015113,010006,猿払村,ｻﾙﾌﾂﾑﾗ
015121,010006,浜頓別町,ﾊﾏﾄﾝﾍﾞﾂﾁｮｳ
015130,010006,中頓別町,ﾅｶﾄﾝﾍﾞﾂﾁｮｳ
015148,010006,枝幸町,ｴｻｼﾁｮｳ
015164,010006,豊富町,ﾄﾖﾄﾐﾁｮｳ
015172,010006,礼文町,ﾚﾌﾞﾝﾁｮｳ
015181,010006,利尻町,ﾘｼﾘﾁｮｳ
015199,010006,利尻富士町,ﾘｼﾘﾌｼﾞﾁｮｳ
015202,010006,幌延町,ﾎﾛﾉﾍﾞﾁｮｳ
015431,010006,美幌町,ﾋﾞﾎﾛﾁｮｳ
015440,010006,津別町,ﾂﾍﾞﾂﾁｮｳ
015458,010006,斜里町,ｼｬﾘﾁｮｳ
015466,010006,清里町,ｷﾖｻﾄﾁｮｳ
015474,010006,小清水町,ｺｼﾐｽﾞﾁｮｳ
015491,010006,訓子府町,ｸﾝﾈｯﾌﾟﾁｮｳ
015504,010006,置戸町,ｵｹﾄﾁｮｳ
015521,010006,佐呂間町,ｻﾛﾏﾁｮｳ
015555,010006,遠軽町,ｴﾝｶﾞﾙﾁｮｳ
015598,010006,湧別町,ﾕｳﾍﾞﾂﾁｮｳ
015601,010006,滝上町,ﾀｷﾉｳｴﾁｮｳ
015610,010006,興部町,ｵｺｯﾍﾟﾁｮｳ
015628,010006,西興部村,ﾆｼｵｺｯﾍﾟﾑﾗ
015636,010006,雄武町,ｵｳﾑﾁｮｳ
015644,010006,大空町,ｵｵｿﾞﾗﾁｮｳ
015717,010006,豊浦町,ﾄﾖｳﾗﾁｮｳ
015750,010006,壮瞥町,ｿｳﾍﾞﾂﾁｮｳ
015784,010006,白老町,ｼﾗｵｲﾁｮｳ
015814,010006,厚真町,ｱﾂﾏﾁｮｳ
015849,010006,洞爺湖町,ﾄｳﾔｺﾁｮｳ
015857,010006,安平町,ｱﾋﾞﾗﾁｮｳ
015865,010006,むかわ町,ﾑｶﾜﾁｮｳ
016012,010006,日高町,ﾋﾀﾞｶﾁｮｳ
016021,010006,平取町,ﾋﾞﾗﾄﾘﾁｮｳ
016047,010006,新冠町,ﾆｲｶｯﾌﾟﾁｮｳ
016071,010006,浦河町,ｳﾗｶﾜﾁｮｳ
016080,010006,様似町,ｻﾏﾆﾁｮｳ
016098,010006,えりも町,ｴﾘﾓﾁｮｳ
016101,010006,新ひだか町,ｼﾝﾋﾀﾞｶﾁｮｳ
016314,010006,音更町,ｵﾄﾌｹﾁｮｳ
016322,010006,士幌町,ｼﾎﾛﾁｮｳ
016331,010006,上士幌町,ｶﾐｼﾎﾛﾁｮｳ
016349,010006,鹿追町,ｼｶｵｲﾁｮｳ
016357,010006,新得町,ｼﾝﾄｸﾁｮｳ
016365,010006,清水町,ｼﾐｽﾞﾁｮｳ
016373,010006,芽室町,ﾒﾑﾛﾁｮｳ
016381,010006,中札内村,ﾅｶｻﾂﾅｲﾑﾗ
016390,010006,更別村,ｻﾗﾍﾞﾂﾑﾗ
016411,010006,大樹町,ﾀｲｷﾁｮｳ
016420,010006,広尾町,ﾋﾛｵﾁｮｳ
016438,010006,幕別町,ﾏｸﾍﾞﾂﾁｮｳ
016446,010006,池田町,ｲｹﾀﾞﾁｮｳ
016454,010006,豊頃町,ﾄﾖｺﾛﾁｮｳ
016462,010006,本別町,ﾎﾝﾍﾞﾂﾁｮｳ
016471,010006,足寄町,ｱｼｮﾛﾁｮｳ
016489,010006,陸別町,ﾘｸﾍﾞﾂﾁｮｳ
016497,010006,浦幌町,ｳﾗﾎﾛﾁｮｳ
016616,010006,釧路町,ｸｼﾛﾁｮｳ
016624,010006,厚岸町,ｱｯｹｼﾁｮｳ
016632,010006,浜中町,ﾊﾏﾅｶﾁｮｳ
016641,010006,標茶町,ｼﾍﾞﾁｬﾁｮｳ
016659,010006,弟子屈町,ﾃｼｶｶﾞﾁｮｳ
016675,010006,鶴居村,ﾂﾙｲﾑﾗ
016683,010006,白糠町,ｼﾗﾇｶﾁｮｳ
016918,010006,別海町,ﾍﾞﾂｶｲﾁｮｳ
016926,010006,中標津町,ﾅｶｼﾍﾞﾂﾁｮｳ
016934,010006,標津町,ｼﾍﾞﾂﾁｮｳ
016942,010006,羅臼町,ﾗｳｽﾁｮｳ
016951,010006,色丹村,ｼｺﾀﾝﾑﾗ
016969,010006,泊村,ﾄﾏﾘﾑﾗ
016977,010006,留夜別村,ﾙﾔﾍﾞﾂﾑﾗ
016985,010006,留別村,ﾙﾍﾞﾂﾑﾗ
016993,010006,紗那村,ｼｬﾅﾑﾗ
017001,010006,蘂取村,ｼﾍﾞﾄﾛﾑﾗ
022012,020001,青森市,ｱｵﾓﾘｼ
022021,020001,弘前市,ﾋﾛｻｷｼ
022039,020001,八戸市,ﾊﾁﾉﾍｼ
022047,020001,黒石市,ｸﾛｲｼｼ
022055,020001,五所川原市,ｺﾞｼｮｶﾞﾜﾗｼ
022063,020001,十和田市,ﾄﾜﾀﾞｼ
022071,020001,三沢市,ﾐｻﾜｼ
022080,020001,むつ市,ﾑﾂｼ
022098,020001,つがる市,ﾂｶﾞﾙｼ
022101,020001,平川市,ﾋﾗｶﾜｼ
023019,020001,平内町,ﾋﾗﾅｲﾏﾁ
023035,020001,今別町,ｲﾏﾍﾞﾂﾏﾁ
023043,020001,蓬田村,ﾖﾓｷﾞﾀﾑﾗ
023078,020001,外ヶ浜町,ｿﾄｶﾞﾊﾏﾏﾁ
023213,020001,鰺ヶ沢町,ｱｼﾞｶﾞｻﾜﾏﾁ
023230,020001,深浦町,ﾌｶｳﾗﾏﾁ
023434,020001,西目屋村,ﾆｼﾒﾔﾑﾗ
023612,020001,藤崎町,ﾌｼﾞｻｷﾏﾁ
023621,020001,大鰐町,ｵｵﾜﾆﾏﾁ
023671,020001,田舎館村,ｲﾅｶﾀﾞﾃﾑﾗ
023817,020001,板柳町,ｲﾀﾔﾅｷﾞﾏﾁ
023841,020001,鶴田町,ﾂﾙﾀﾏﾁ
023876,020001,中泊町,ﾅｶﾄﾞﾏﾘﾏﾁ
024015,020001,野辺地町,ﾉﾍｼﾞﾏﾁ
024023,020001,七戸町,ｼﾁﾉﾍﾏﾁ
024058,020001,六戸町,ﾛｸﾉﾍﾏﾁ
024066,020001,横浜町,ﾖｺﾊﾏﾏﾁ
024082,020001,東北町,ﾄｳﾎｸﾏﾁ
024112,020001,六ヶ所村,ﾛｯｶｼｮﾑﾗ
024121,020001,おいらせ町,ｵｲﾗｾﾁｮｳ
024236,020001,大間町,ｵｵﾏﾏﾁ
024244,020001,東通村,ﾋｶﾞｼﾄﾞｵﾘﾑﾗ
024252,020001,風間浦村,ｶｻﾞﾏｳﾗﾑﾗ
024261,020001,佐井村,ｻｲﾑﾗ
024414,020001,三戸町,ｻﾝﾉﾍﾏﾁ
024422,020001,五戸町,ｺﾞﾉﾍﾏﾁ
024431,020001,田子町,ﾀｯｺﾏﾁ
024457,020001,南部町,ﾅﾝﾌﾞﾁｮｳ
024465,020001,階上町,ﾊｼｶﾐﾁｮｳ
024503,020001,新郷村,ｼﾝｺﾞｳﾑﾗ
032018,030007,盛岡市,ﾓﾘｵｶｼ
032026,030007,宮古市,ﾐﾔｺｼ
032034,030007,大船渡市,ｵｵﾌﾅﾄｼ
032051,030007,花巻市,ﾊﾅﾏｷｼ
